985 2833
1 749 326
741 658 85
428 482 976
750 283 195
591 962 116
669 479 813
728 648 816
229 102 739
563 784 109
203 874 230
323 545 226
925 149 633
529 50 726
801 84 651
135 614 928
310 755 995
635 609 39
826 68 97
750 870 516
962 161 660
782 471 258
982 648 250
218 368 764
273 656 26
355 825 908
984 409 777
10 674 5
887 37 846
151 654 140
255 393 327
924 73 791
112 211 786
237 230 219
913 810 969
181 257 85
85 552 489
495 628 133
451 915 173
571 332 181
170 44 99
616 591 374
877 42 441
92 258 708
157 249 386
733 865 305
84 763 319
374 48 298
74 221 940
814 438 78
364 408 512
26 732 424
208 716 488
301 460 310
962 892 580
77 740 968
236 529 396
535 553 559
319 9 26
141 267 464
890 950 9
617 545 972
209 776 592
325 50 468
562 728 966
548 778 117
798 432 378
546 218 673
758 736 396
154 587 429
844 649 187
48 309 113
963 745 477
574 513 844
217 419 449
479 734 361
403 643 347
7 35 12
547 3 302
438 683 982
546 982 179
211 500 655
902 899 849
814 589 385
663 176 790
627 644 645
369 151 356
205 23 417
60 822 36
854 696 577
878 229 403
259 37 415
807 154 471
259 374 14
472 423 546
517 813 875
371 818 449
713 745 403
43 410 739
247 754 835
606 468 271
420 78 350
573 624 609
619 517 406
728 371 276
833 214 520
209 877 172
225 538 708
644 765 420
14 174 262
29 294 659
179 414 684
119 396 361
699 952 368
920 146 628
624 175 508
549 773 641
570 521 745
339 830 32
751 13 626
802 915 336
750 812 695
477 591 937
498 164 769
949 562 390
815 784 538
526 629 83
281 165 537
447 494 435
458 442 461
655 51 1
81 298 521
556 83 336
879 881 550
703 886 413
582 151 318
493 1 947
703 599 434
25 664 827
23 451 752
420 888 512
511 26 696
831 905 834
188 572 949
924 154 138
709 225 952
35 632 666
359 531 589
567 286 188
454 697 945
382 660 42
96 274 830
35 969 483
726 26 963
633 196 780
490 892 120
322 335 397
481 444 749
482 186 256
729 397 629
638 983 107
675 929 745
495 719 235
590 226 403
123 10 257
853 239 957
109 715 58
973 962 153
553 367 583
854 865 384
261 649 773
924 777 98
453 331 633
351 197 8
519 320 671
281 782 857
559 442 275
953 865 101
882 734 415
879 164 319
205 467 937
474 427 567
713 930 778
770 644 598
86 639 610
295 780 148
797 866 805
450 416 717
72 442 519
480 976 946
808 511 833
411 755 565
975 672 49
71 859 169
127 672 252
100 95 17
446 216 107
397 188 418
582 599 915
440 114 205
555 417 385
542 488 257
540 83 803
812 623 582
112 666 803
380 800 690
982 739 792
194 540 502
273 152 942
705 639 240
936 705 266
777 292 873
751 874 490
907 652 495
956 499 396
904 214 32
829 461 377
203 593 552
394 592 344
222 473 685
920 515 476
786 765 33
689 830 748
352 727 453
715 452 989
360 177 348
921 459 148
446 18 871
247 560 891
35 103 296
24 546 738
835 743 271
671 296 628
799 601 838
782 649 195
919 4 232
313 75 297
464 272 827
368 190 556
245 444 304
891 598 849
371 166 59
140 380 806
313 609 255
246 494 726
109 159 622
736 718 922
131 72 462
530 130 603
336 476 671
858 388 551
680 793 325
132 741 631
745 588 736
604 432 558
647 231 899
165 470 735
758 176 628
410 924 368
633 655 907
564 63 397
366 792 970
119 274 202
328 600 958
352 706 120
405 539 234
60 866 297
552 905 925
366 643 512
162 733 193
165 319 525
247 969 44
658 865 568
877 463 836
666 214 589
49 629 14
427 811 139
55 630 890
190 327 303
584 181 388
170 867 296
45 660 162
303 40 757
268 626 632
158 930 551
967 175 334
957 55 69
984 972 869
114 177 769
170 929 358
854 388 175
659 313 430
955 599 789
833 402 814
907 808 628
575 739 174
157 129 237
23 236 696
963 878 181
204 451 391
374 348 389
419 781 152
271 544 908
320 484 724
103 117 945
466 489 955
402 521 612
173 478 224
383 272 347
721 469 923
394 493 41
923 765 750
913 844 884
917 490 604
12 590 815
648 227 963
754 50 368
588 502 12
194 870 539
278 494 489
170 146 288
192 560 387
613 256 750
335 162 321
576 66 149
246 756 167
784 221 951
361 310 524
541 85 367
425 629 741
69 711 544
155 80 982
356 788 570
572 380 220
211 120 761
66 97 886
564 4 656
950 22 454
640 348 280
620 16 684
92 765 787
751 795 327
912 974 885
195 941 692
262 615 256
929 816 16
973 819 298
532 785 332
512 76 192
944 98 543
671 508 401
380 751 562
782 391 163
719 627 473
298 357 575
58 896 748
247 178 734
871 587 422
584 941 98
804 490 721
606 358 73
307 102 336
527 964 429
895 640 417
333 672 158
603 229 420
810 443 753
355 970 238
132 734 660
687 344 524
233 294 673
728 445 191
579 859 245
490 902 350
217 520 227
481 369 89
370 486 96
287 149 657
381 802 969
543 115 578
873 577 207
966 640 524
122 792 625
90 940 472
160 168 956
867 476 1
60 658 874
146 368 803
581 638 653
168 449 118
436 226 61
285 652 612
378 927 869
582 316 344
46 686 126
697 773 902
953 37 397
447 155 466
62 937 204
286 464 101
192 590 350
414 957 270
662 357 281
163 223 323
789 549 157
418 831 291
710 253 617
6 856 977
791 410 678
41 890 239
736 644 126
368 278 801
9 541 999
122 744 828
442 727 824
449 635 596
42 419 367
584 788 842
670 543 785
607 83 384
116 367 182
737 218 49
730 214 649
599 670 331
90 554 620
379 579 988
109 215 305
835 575 638
45 821 461
110 835 860
801 205 438
669 7 561
151 118 796
38 209 727
78 884 197
419 693 733
411 57 839
798 846 708
550 912 743
49 454 601
755 254 877
785 16 75
352 51 226
99 285 420
670 539 184
294 905 550
413 692 488
843 570 760
732 636 274
585 637 552
495 44 738
154 601 326
416 651 996
140 282 167
865 646 693
316 802 960
224 39 783
540 837 264
303 663 748
795 161 126
758 825 551
971 465 132
700 923 841
507 514 920
42 876 880
479 518 691
479 824 490
626 438 979
209 316 940
208 43 290
455 422 509
914 150 964
361 398 810
356 597 461
624 122 826
232 345 705
709 479 336
64 126 699
172 568 991
582 225 141
602 931 975
204 696 581
683 983 560
176 15 802
535 472 845
766 385 258
307 755 196
777 308 851
375 166 514
138 751 718
884 245 957
90 496 828
666 828 668
43 357 679
978 36 351
373 327 884
665 883 625
975 443 552
74 308 571
332 19 757
535 823 993
858 933 326
546 509 711
